"","dyad","etaX.est","etaX.se","zetaX.est","zetaX.se","etaY.est","etaY.se","zetaY.est","zetaY.se","gammaX.est","gammaX.se","gammaY.est","gammaY.se","VX.est","VX.se","VdX.est","VdX.se","Vd2X.est","Vd2X.se","VY.est","VY.se","VdY.est","VdY.se","Vd2Y.est","Vd2Y.se"
"1",178,-0.054832077353478,-0.737121853947907,0.0289816458740772,0.288784570628497,-0.0195540207688211,0.174121259319177,0.078999311964152,0.18820119356341,0.4,NA,0.4,0.237232155460741,0.311220364900065,0.00511156882468883,1.00000018864795e-08,0.127448808425848,0.00264856240090893,0.00262903139199184,9.99999999994061e-09,0.00445082522015164,0.00170550309059548,0.0345147919428677,0.00601830616798088,0.0033834254395282
"2",177,-0.0686065027992969,0.222547330870925,0.0683077439485189,0.332553401248737,-0.0633840376967788,-0.0355979400888768,0.035928491171751,0.158105843375947,0.4,0.464457813379231,-0.282329874672029,1.29478681098161,0.100265904414049,0.00425348117827164,9.99999999994061e-09,0.049613161797531,0.00314122361687511,0.00174618433266302,0.472199674364728,0.0169858270634358,0.00208590633655172,0.147196620262109,0.0068324357921037,0.00252293305152121
"3",165,-0.0483064350054364,0.118796976802145,0.0921733651976465,1.55531492563534,-0.0859497566813318,-0.230065643312433,0.0591249269223013,0.326111756292468,0.400000000000043,2.11978146987115,0.399999999999693,NA,0.139087272671861,1.0000000000049e-08,0.00285170127667662,0.0656683302770721,0.00352544983192705,0.00329016377140925,0.0484392239822466,0.00493683386318434,0.000453379511945757,0.0335345572105175,0.00319267047275523,0.0010035675727826
"4",160,0.0121107610924965,-1.1335409632938,0.0633193908516545,1.08539815986731,-0.0839615607271525,0.561537386550642,NA,NA,0.399999999999647,2.17022700152934,-0.116312979430945,NA,0.325589065204457,0.00307080874945942,8.23175088476537e-06,0.130495410275073,0.00503907311470246,0.0118043227525426,8.23175088476537e-06,6.94890872989568e-06,0.0011612425310364,NA,NA,0.00167099262992867
"5",159,-0.152453933864151,0.517460090189217,NA,NA,-0.131520888692162,6.9675183846456,NA,NA,-0.4,NA,-0.4,NA,0.102168206567802,0.0115635327538699,0.00193913004584035,NA,NA,NA,0.237629753396497,1.00000000000016e-08,0.00991550472843908,NA,NA,14.4891337526987
"6",130,-0.00559717396054888,0.135570792162404,0.116720219179954,0.307481147724052,-0.0596122376370957,-0.684503477022927,0.0690791686339159,0.39395848627968,0.284967528673632,0.49586563688855,0.4,2.49808014936394,0.00590003525605519,9.99999999999482e-09,1.0000000000049e-08,0.0198581915650263,0.00551121344839368,0.00188878130469901,0.100237936031484,0.00213272712619602,9.99999999999482e-09,0.0545149371879639,0.00262047549126992,0.00209101276834306
"7",128,-0.0839087387170368,0.0874802702666081,0.0335564276923719,0.133367994602665,-0.0644951465769611,-0.308374338421726,0.0656036626191893,0.174124249711364,0.4,0.603101046624376,0.128392350555466,0.666613908332333,0.34448189572242,0.0259565403097305,0.00247457812889916,0.111496813779141,0.00910065952922437,0.00213385597530656,0.0330668963648043,9.99999999994061e-09,0.00261992617630529,0.0748765690818743,0.00555056933503831,0.0042677978578321
"8",124,-0.102486232725171,0.0399629346503784,0.139728253595235,0.429986986067254,-0.0424770564598352,-0.255264047458299,0.134286473468937,0.255335958275269,-0.4,2.73502566213221,0.394452442744392,1.3949754954393,0.322646106362157,0.0121230229943992,9.99999999994061e-09,0.161184628736475,0.00779169380185869,0.00327628293838382,0.177057571926226,0.00729024979348527,9.99999999994061e-09,0.0703449609586497,0.00449074954706806,0.00255820527247701
"9",121,0.0642858746683937,0.015723323754317,NA,0.151651764584921,-0.0288171514773067,-0.100295503619335,NA,0.248949207028237,-0.4,NA,0.4,NA,0.0241512408141268,0.00294813025454911,2.81248537808619e-06,NA,0.00280643319568262,NA,0.0861590387265269,0.00472771675814055,2.81248537808619e-06,NA,0.00339453227852388,NA
"10",115,-0.121532191768509,-0.0957534874918279,0.029964640217111,0.220537786089981,-1.00174319157764,-2.99382862563002,0.419032809481571,1.77620493927116,0.4,0.325661773659553,0.4,0.280931016800822,0.525992499868404,0.0171905963604056,9.99999999999482e-09,0.157230927504556,0.00652317269005471,0.00176410647431065,9.99999999994061e-09,1.0000000000049e-08,0.00207267861046974,NA,NA,0.00303377749902901
"11",110,-0.234258994882871,-0.0192870373064004,0.0325299930192326,0.0915200111699389,-0.19965534482208,0.0462583946219882,NA,0.139025703448417,0.13781989689737,0.19539366822589,0.399999999999921,0.152914331223556,1.00000000016753e-08,9.99999999999482e-09,1.0000000000049e-08,0.019008363774129,NA,0.00175739133171373,0.0698170904671593,0.0153140175659849,9.99999999999482e-09,NA,0.00401229564652879,NA
"12",108,-0.136488709130381,-3.24644729381747,NA,1.29782857402719,-0.027091871671019,0.542312315734287,NA,NA,-0.4,0.668758371496718,-0.4,0.284259094898865,0.184804240700791,9.99999999999482e-09,0.0114906751020054,0.0809125550698263,NA,0.00374627364858542,0.085307375744007,0.00530875649896372,0.000891512842345719,0.0370931165454558,0.0030052171331761,NA
"13",106,-0.0934508686372259,0.374610129707992,0.0413383535079368,0.209504836991067,-0.0667157203820255,-0.0137835655871539,0.0293334490147322,0.0786183563868363,0.4,NA,-0.4,0.329456146760253,0.122581332381601,1.00000040192949e-08,0.00171077094498181,0.0524627757992138,0.0024941093312249,0.00136889720379959,0.0218190659279323,0.00291865691475722,0.00101512256310006,0.024857864857872,0.00257076887574399,0.001012212234019
"14",104,0.0592924909776792,-0.0949308757475986,NA,0.170927465222161,-0.133609684396595,-0.0465405528045594,0.0286813193504183,0.105376863581083,0.4,NA,-0.4,NA,9.99999999999482e-09,0.00735071540596851,9.99999999999482e-09,0.0272674157950172,0.00544325249321107,NA,0.0868052502810839,0.00870381966632977,0.000320515071460577,NA,0.00469895960367237,0.000853922070413659
