"id","valenceE","rtms","logrt","idcat"
201,-0.5,907.749679333333,6.77449654637272,"201"
201,0.5,906.444277142857,6.78516092453935,"201"
202,0.5,796.278448647059,6.63186846974557,"202"
202,-0.5,946.0784198,6.79630604918403,"202"
204,0.5,776.888650941176,6.63546722451103,"204"
204,-0.5,864.836851666667,6.75979933818236,"204"
205,0.5,656.393051285714,6.47312115036701,"205"
205,-0.5,956.007862,6.82087934099734,"205"
206,0.5,1239.4237668125,7.04152201253402,"206"
206,-0.5,1102.438116,6.99050145348972,"206"
207,-0.5,1073.01356408333,6.95464813750825,"207"
207,0.5,1233.66276433333,7.09743755454957,"207"
208,0.5,842.367410571429,6.69087745289988,"208"
208,-0.5,1439.82161814286,7.26022311718822,"208"
209,0.5,1225.86904644444,7.06167759525278,"209"
209,-0.5,1534.21163566667,7.32712785006785,"209"
210,0.5,727.9021591875,6.56656333407411,"210"
210,-0.5,796.689748875,6.66504021573207,"210"
212,0.5,923.7790554375,6.78432909844018,"212"
212,-0.5,1350.80111033333,7.18405101267642,"212"
302,-0.5,1161.73056178571,7.03189679909401,"302"
302,0.5,989.735016307692,6.85352349890024,"302"
303,-0.5,1493.423462,7.30482564324206,"303"
303,0.5,879.526337,6.75867649561008,"303"
304,-0.5,897.09204425,6.76825395320714,"304"
304,0.5,648.398946235294,6.46498865488341,"304"
305,0.5,598.0098884,6.38383697451729,"305"
305,-0.5,651.04418975,6.47651533691498,"305"
306,0.5,931.73801895,6.81966684077354,"306"
306,-0.5,1358.732939,7.21430788196284,"306"
219,-0.5,840.848499,6.72531348985549,"219"
219,0.5,897.543925384615,6.76745860885889,"219"
220,0.5,764.323949736842,6.62218832193468,"220"
220,-0.5,1081.76867166667,6.97578900398628,"220"
221,0.5,1134.955498,7.00810471092239,"221"
221,-0.5,1409.28328953846,7.23979948006528,"221"
222,0.5,829.877004,6.70233613559694,"222"
222,-0.5,1323.90059366667,7.15820421652724,"222"
223,0.5,746.997131166667,6.61075080293806,"223"
223,-0.5,792.30845,6.67293989695129,"223"
224,-0.5,792.916112222222,6.66751107555254,"224"
224,0.5,702.691041461538,6.54936652521062,"224"
226,-0.5,1228.78148354545,7.08768895420851,"226"
226,0.5,951.510559363636,6.835201181397,"226"
228,-0.5,910.345077538462,6.78886331756591,"228"
228,0.5,915.292829375,6.76822623707915,"228"
229,0.5,925.985358090909,6.82687645654535,"229"
229,-0.5,918.318457222222,6.81916962426196,"229"
232,0.5,1045.15674115,6.90725213853046,"232"
232,-0.5,1264.01805866667,7.08613643562565,"232"
234,0.5,1117.986075,6.97927248591901,"234"
234,-0.5,1344.21894288889,7.17451429877526,"234"
235,0.5,1082.5808208,6.95136591072444,"235"
235,-0.5,1130.61269854545,7.01639013876423,"235"
236,0.5,894.341393421053,6.74650537878826,"236"
236,-0.5,858.0311535,6.75392810229464,"236"
237,0.5,1024.53957,6.91683886191085,"237"
237,-0.5,1155.52025576923,7.00213607768517,"237"
238,-0.5,1211.18940614286,7.06352810327442,"238"
238,0.5,1031.928092125,6.88952332347223,"238"
239,-0.5,1167.6881164375,7.02450824140495,"239"
239,0.5,1471.58676375,7.2895845691993,"239"
240,0.5,862.591028285714,6.70802141056273,"240"
240,-0.5,827.6932954,6.70975179008533,"240"
241,0.5,963.150421666667,6.79939364330127,"241"
241,-0.5,1121.91234041667,6.95936510269579,"241"
242,0.5,696.840763,6.53672851045442,"242"
242,-0.5,766.328845785714,6.62537853147916,"242"
243,-0.5,1169.67430725,7.03626358607811,"243"
243,0.5,1006.07219609091,6.88134726421375,"243"
244,0.5,862.956007333333,6.70610526355241,"244"
244,-0.5,785.4554056875,6.6457175303985,"244"
245,-0.5,971.80485725,6.82865923774007,"245"
245,0.5,740.251881714286,6.57058801466698,"245"
246,0.5,824.85432368421,6.69494158670329,"246"
246,-0.5,1109.253611,6.93274055975606,"246"
247,-0.5,993.934917466667,6.87573927047321,"247"
247,0.5,1291.8940185,7.15611759168884,"247"
248,0.5,760.392464076923,6.61377198432441,"248"
248,-0.5,1149.291992,7.04020641165276,"248"
249,-0.5,884.327888375,6.77459368477116,"249"
249,0.5,831.556383666667,6.70746588600408,"249"
251,0.5,1328.36329015385,7.15579539823021,"251"
251,-0.5,1509.3204974,7.3054556903399,"251"
252,-0.5,927.227837571429,6.8239754367975,"252"
252,0.5,771.237265,6.62733035538964,"252"
254,0.5,1087.56867478571,6.9519491853087,"254"
254,-0.5,1339.1490697,7.17216450024202,"254"
255,0.5,836.280924928571,6.69776266208581,"255"
255,-0.5,1366.222143,7.18582669148167,"255"
256,0.5,842.248422714286,6.72036669133139,"256"
256,-0.5,998.301029166667,6.90073403641291,"256"
301,-0.5,1057.29375955556,6.95236244773139,"301"
301,0.5,910.101551789474,6.78656451480563,"301"
262,0.5,1199.81956475,7.05099720822418,"262"
262,-0.5,1213.5297655,7.08612614156437,"262"
263,0.5,986.625021181818,6.88787383516303,"263"
263,-0.5,1825.4790305,7.50892988131405,"263"
264,-0.5,777.596625454545,6.63553347629115,"264"
264,0.5,698.778115769231,6.5270741498158,"264"
265,0.5,1146.94232953333,7.00137810549984,"265"
265,-0.5,1316.62943633333,7.16449998802829,"265"
266,0.5,858.871777666667,6.72546339370745,"266"
266,-0.5,1256.24212354545,7.09112151380602,"266"
267,-0.5,1217.63682375,7.08659880710369,"267"
267,0.5,796.818570105263,6.65381346853254,"267"
268,0.5,714.077753176471,6.54886131562916,"268"
268,-0.5,782.8363418,6.64128538751311,"268"
269,0.5,935.758256866667,6.82933610803032,"269"
269,-0.5,1155.6987762,7.03792297492457,"269"
270,0.5,1197.76324416667,7.0792969057727,"270"
270,-0.5,1022.91785590909,6.92409022416964,"270"
271,0.5,1113.80507264286,6.99455043191368,"271"
271,-0.5,1183.01590857143,7.04449444129279,"271"
273,0.5,1013.13713017647,6.89137814179907,"273"
273,-0.5,1414.92033033333,7.24914782251386,"273"
274,-0.5,1106.77641633333,6.9728564756257,"274"
274,0.5,1016.78209833333,6.88969604899504,"274"
